Time,BTC,ETH,USDT,BNB,SOL,XRP,USDC,DOGE,FDUSD,PEPE,WIF,SHIB,WLD,SUI,USD1,BSC-USD,TRX,STETH,FIGR_HELOC,ADA,WSTETH,BCH,WBT,WBTC,WBETH,WEETH,USDS,XMR,LINK,LEO,WETH,XLM,CBBTC,USDE,ZEC,CC,AVAX,LTC,HYPE,HBAR,WLFI,USDT0,DAI,SUSDS,TON,SUSDE,PYUSD,CRO,DOT,RAIN,UNI,MNT,M,BGB,XAUT,AAVE,TAO,OKB,USDF,ICP,NEAR,PAXG,JITOSOL,ETC,BUIDL,ONDO,HTX,USDG,USYC,PUMP,PI,JLP,ASTER,RSETH,SKY,POL,KCS,BNSOL,ENA,RLUSD,HASH,WBNB,BFUSD,SYRUPUSDC,RETH,APT,QNT,MYX,ATOM,GT,USDD,KAS,RENDER,ARB,ALGO,FIL,NIGHT,FBTC,TRUMP,RIVER
2026-01-22 17:10:03,89934.0,3005.41,0.999136,891.81,129.58,1.96,0.999773,0.126449,,5.13e-06,,7.93e-06,0.480299,1.53,0.998847,0.999092,0.299426,3002.63,1.033,0.364604,3679.74,596.74,54.34,89591.0,3273.09,3264.45,0.999568,505.25,12.43,8.92,3004.64,0.215651,89848.0,0.999793,359.6,0.147174,12.44,68.71,22.1,0.110677,0.171252,0.999075,0.999644,1.084,1.58,1.22,0.999754,0.092488,1.95,0.00924278,4.95,0.892565,1.6,3.66,4831.33,159.6,245.68,103.64,0.996485,3.72,1.55,4845.13,162.78,11.66,1.0,0.343555,1.78e-06,0.999775,1.11,0.00266096,0.184056,4.64,0.620849,3190.91,0.065049,0.135598,10.76,141.97,0.178083,0.999615,0.02526823,891.63,0.998689,1.15,3471.79,1.57,80.56,6.12,2.38,9.98,0.999315,0.04067182,2.07,0.18176,0.119103,1.35,0.058977,89461.0,4.87,
2026-01-22 17:11:03,89948.0,3006.76,0.999135,892.18,129.64,1.96,0.999734,0.126511,,5.13e-06,,7.93e-06,0.4804,1.53,0.998824,0.999023,0.299439,3003.24,1.033,0.36467,3680.38,596.79,54.34,89580.0,3273.09,3265.17,0.999557,506.72,12.43,8.92,3005.32,0.215793,89852.0,0.999711,359.61,0.147304,12.44,68.73,22.11,0.110694,0.171257,0.99898,0.999608,1.084,1.58,1.22,0.999745,0.092501,1.95,0.00924568,4.95,0.892989,1.6,3.66,4833.12,159.66,245.75,103.64,0.996484,3.72,1.55,4845.59,162.78,11.66,1.0,0.34367,1.78e-06,0.999735,1.11,0.00266261,0.184088,4.64,0.620887,3190.99,0.065049,0.135706,10.76,141.97,0.17813,0.999615,0.02527225,891.61,0.998689,1.15,3472.52,1.57,80.55,6.13,2.38,9.98,0.999315,0.04067769,2.07,0.181788,0.119113,1.35,0.05899,89541.0,4.87,
2026-01-22 17:12:02,89948.0,3006.76,0.999135,892.18,129.64,1.96,0.999734,0.126511,,5.13e-06,,7.93e-06,0.4804,1.53,0.998824,0.999023,0.299439,3003.24,1.033,0.36467,3680.38,596.79,54.34,89580.0,3273.09,3265.17,0.999557,506.72,12.43,8.92,3005.32,0.215793,89852.0,0.999711,359.61,0.147304,12.44,68.73,22.11,0.110694,0.171257,0.99898,0.999608,1.084,1.58,1.22,0.999745,0.092501,1.95,0.00924568,4.95,0.892989,1.6,3.66,4833.12,159.66,245.75,103.64,0.996484,3.72,1.55,4845.59,162.78,11.66,1.0,0.34367,1.78e-06,0.999735,1.11,0.00266261,0.184088,4.64,0.620887,3190.99,0.065049,0.135706,10.76,141.97,0.17813,0.999615,0.02527225,891.61,0.998689,1.15,3472.52,1.57,80.55,6.13,2.38,9.98,0.999315,0.04067769,2.07,0.181788,0.119113,1.35,0.05899,89541.0,4.87,
2026-01-22 17:12:13,89963.0,3007.11,0.999137,892.55,129.65,1.96,0.999734,0.126554,,5.13e-06,,7.93e-06,0.480789,1.53,0.998838,0.999023,0.299538,3004.19,1.033,0.364846,3681.01,596.9,54.34,89560.0,3274.41,3266.06,0.999554,506.71,12.43,8.92,3005.49,0.215854,89880.0,0.999718,359.67,0.147502,12.45,68.77,22.12,0.110716,0.171276,0.999145,0.999807,1.084,1.58,1.22,0.999837,0.092495,1.95,0.00924669,4.95,0.893136,1.6,3.66,4834.26,159.7,245.88,103.65,0.996488,3.72,1.55,4846.7,162.78,11.66,1.0,0.344197,1.78e-06,0.999735,1.11,0.00266285,0.184146,4.64,0.620952,3192.07,0.065062,0.135901,10.76,142.25,0.178628,0.999615,0.02527225,891.61,0.998782,1.15,3472.6,1.57,80.57,6.12,2.39,9.98,0.999314,0.04068328,2.07,0.181977,0.119163,1.35,0.059017,89541.0,4.88,
2026-01-22 17:14:14,89958.0,3007.03,0.99914,892.53,129.79,1.96,0.999958,0.12656,,5.13e-06,,7.93e-06,0.480729,1.53,0.998937,0.999309,0.299516,3004.44,1.033,0.364891,3682.3,596.92,54.34,89508.0,3274.42,3266.95,0.999555,507.08,12.43,8.92,3008.07,0.21586,89835.0,0.999855,359.74,0.148119,12.45,68.77,22.13,0.110723,0.171282,0.999186,0.99966,1.084,1.58,1.22,0.999866,0.092499,1.95,0.00924878,4.95,0.893099,1.6,3.66,4832.27,159.75,245.92,103.65,0.996489,3.72,1.55,4846.67,162.84,11.66,1.0,0.344164,1.78e-06,0.999734,1.11,0.00266287,0.184207,4.65,0.620959,3192.07,0.06508,0.135929,10.77,142.25,0.178678,0.9996,0.02527225,892.6,0.99878,1.15,3474.33,1.57,80.58,6.12,2.39,9.98,0.999318,0.04070094,2.07,0.181985,0.119217,1.35,0.059028,89541.0,4.88,
2026-01-22 17:15:14,89971.0,3007.68,0.999134,892.45,129.81,1.96,0.999726,0.126577,,5.14e-06,,7.93e-06,0.481004,1.53,0.998894,0.999043,0.299525,3005.44,1.033,0.365171,3682.54,597.11,54.4,89603.0,3274.16,3267.18,0.999551,506.75,12.44,8.92,3006.81,0.215767,89874.0,0.999667,360.47,0.148508,12.46,68.79,22.15,0.110765,0.171359,0.998863,0.999624,1.084,1.58,1.22,0.999634,0.092496,1.96,0.00925269,4.96,0.893121,1.6,3.67,4831.77,159.8,245.85,103.71,0.996407,3.73,1.55,4845.8,163.12,11.68,1.0,0.344724,1.78e-06,0.999732,1.11,0.00266314,0.184298,4.65,0.620792,3193.69,0.065105,0.136084,10.77,142.34,0.178767,0.999682,0.02527225,892.61,0.998771,1.15,3475.77,1.58,80.59,6.12,2.39,9.98,0.99941,0.04070463,2.07,0.182167,0.119331,1.35,0.059053,89530.0,4.88,
2026-01-22 17:15:56,89971.0,3007.68,0.999134,892.45,129.81,1.96,0.999726,0.126577,,5.14e-06,,7.93e-06,0.481004,1.53,0.998894,0.999043,0.299525,3005.44,1.033,0.365171,3682.54,597.11,54.4,89603.0,3274.16,3267.18,0.999551,506.75,12.44,8.92,3006.81,0.215767,89874.0,0.999667,360.47,0.148508,12.46,68.79,22.15,0.110765,0.171359,0.998863,0.999624,1.084,1.58,1.22,0.999634,0.092496,1.96,0.00925269,4.96,0.893121,1.6,3.67,4831.77,159.8,245.85,103.71,0.996407,3.73,1.55,4845.8,163.12,11.68,1.0,0.344724,1.78e-06,0.999732,1.11,0.00266314,0.184298,4.65,0.620792,3193.69,0.065105,0.136084,10.77,142.34,0.178767,0.999682,0.02527225,892.61,0.998771,1.15,3475.77,1.58,80.59,6.12,2.39,9.98,0.99941,0.04070463,2.07,0.182167,0.119331,1.35,0.059053,89530.0,4.88,
2026-01-22 17:16:58,89957.0,3006.89,0.999126,892.25,129.8,1.96,0.999599,0.126561,,5.14e-06,,7.94e-06,0.481239,1.53,0.998895,0.998919,0.299544,3005.6,1.033,0.36532,3682.83,597.29,54.4,89563.0,3274.45,3267.47,0.999502,506.93,12.44,8.91,3006.86,0.215723,89865.0,0.999612,360.65,0.148561,12.46,68.8,22.13,0.110757,0.17137,0.998665,0.999566,1.084,1.58,1.22,0.99962,0.092494,1.96,0.00927816,4.96,0.892353,1.6,3.67,4831.68,159.87,245.92,103.8,0.996333,3.73,1.56,4845.63,163.06,11.69,1.0,0.344439,1.78e-06,0.999741,1.11,0.00266297,0.184358,4.65,0.620786,3193.81,0.065123,0.136249,10.77,142.34,0.178817,0.999686,0.02526895,892.41,0.99877,1.15,3475.96,1.58,80.53,6.11,2.39,9.98,0.999394,0.04070524,2.08,0.182216,0.119424,1.35,0.059036,89430.0,4.88,
2026-01-22 17:17:56,89957.0,3006.89,0.999126,892.25,129.8,1.96,0.999599,0.126561,,5.14e-06,,7.94e-06,0.481239,1.53,0.998895,0.998919,0.299544,3005.6,1.033,0.36532,3682.83,597.29,54.4,89563.0,3274.45,3267.47,0.999502,506.93,12.44,8.91,3006.86,0.215723,89865.0,0.999612,360.65,0.148561,12.46,68.8,22.13,0.110757,0.17137,0.998665,0.999566,1.084,1.58,1.22,0.99962,0.092494,1.96,0.00927816,4.96,0.892353,1.6,3.67,4831.68,159.87,245.92,103.8,0.996333,3.73,1.56,4845.63,163.06,11.69,1.0,0.344439,1.78e-06,0.999741,1.11,0.00266297,0.184358,4.65,0.620786,3193.81,0.065123,0.136249,10.77,142.34,0.178817,0.999686,0.02526895,892.41,0.99877,1.15,3475.96,1.58,80.53,6.11,2.39,9.98,0.999394,0.04070524,2.08,0.182216,0.119424,1.35,0.059036,89430.0,4.88,
2026-01-22 17:18:04,89911.0,3004.24,0.999135,891.81,129.73,1.96,0.999607,0.126516,,5.14e-06,,7.94e-06,0.481099,1.53,0.998927,0.998811,0.29955,3004.05,1.033,0.365134,3682.5,597.3,54.4,89492.0,3273.87,3267.09,0.99951,506.92,12.44,8.92,3006.82,0.215659,89866.0,0.999616,360.85,0.14813,12.46,68.8,22.11,0.110678,0.171256,0.999317,0.999555,1.083,1.58,1.22,0.999595,0.092468,1.96,0.00927787,4.96,0.891484,1.6,3.66,4831.53,159.79,245.61,103.8,0.996404,3.73,1.55,4845.51,163.09,11.7,1.0,0.344145,1.78e-06,0.999729,1.11,0.00266134,0.184318,4.65,0.620581,3193.95,0.065139,0.136205,10.77,141.95,0.178802,0.999633,0.02504465,892.41,0.99878,1.15,3475.94,1.58,80.52,6.11,2.39,9.98,0.999404,0.04065211,2.08,0.182155,0.11942,1.35,0.059024,89431.0,4.88,
